sentences,keywords,cluster_ID_kmeans
If you think negatively of Chris Kyle and the American Sniper story then fuck you Move to the Middle East join the fucking Taliban,"middle east, american sniper story, chris kyle, american, taliban",0
My goal is to look like Bradley cooper in American Sniper A massive hairy tank,"bradley cooper, bradley, hairy, american sniper a, tank",2
Beards4Chris ChrisKyle HonorChrisKyle ChrisKyleFrog AmericanSniper ,"beards4chris chriskyle honorchriskyle chriskylefrog americansniper, americansniper",1
Go see Oscar Nominationed AmericanSniper (Expanded Now on more screens in history for rated R movie HonorChrisKyle PJNET,"history, honorchriskyle, more screens, nominationed americansniper, r, pjnet",1
Maybe a hero ChrisKyle maybeahero AmericanSniper ,"chriskyle, americansniper",1
WashTimes Jesse Ventura says 'American Sniper' as real as 'Dirty Harry' blasts Chris Kyle ,"dirty, chris kyle, kyle, dirty harry, american sniper ', dirty harry '",0
I just supported Chris Kyle AmericanSniper on ThunderclapIt // Melissa_PPI ,"chris kyle americansniper, thunderclapit",0
Muero x ver AmericanSniper Eastwood BradleyCooper I can't wait for it,"eastwood bradleycooper, bradleycooper, americansniper eastwood bradleycooper",1
If you call ChrisKyle a murderer I call you an unAmerican pussy AmericanSniper,"chriskyle, americansniper",1
AmericanSniper's Bradley Cooper addresses the film's backlash ,"bradley cooper, film, backlash",2
'American Sniper' tops box office again w/ 64M Met Oscar nominee Bradley Cooper in 2011 JLo's 'Boy Next Door' 2 ,"bradley cooper, boy next door, door, box office, boy, jlo",2
See director Clint Eastwoods surprising two-word response to American Sniper critics ,"sniper, response, american, critics, clint eastwoods",2
Just saw AmericanSniper brilliant film Clint Eastwoods direction is impeccable Bradley Cooper is fantastic,"bradley cooper, clint eastwoods, cooper, bradley",2
"Bradley Cooper absolutely got it right in playing Chris Kyle in American Sniper"" says widow Kaya Kyle at Oscars ","chris kyle, kaya kyle, kyle, american, american sniper, widow kaya kyle",0
Comunque sono mesi che quando sento dire American Sniper io per assonanza penso solo alla biscia di Bradley Cooper ciao SkyCinemaOscar,"assonanza penso solo alla biscia, bradley cooper, bradley, skycinemaoscar, biscia, american sniper",2
AmericanSniper has made MORE money than ALL of the other nominated Best Pictures COMBINED GodBlessChrisKyle ChrisKyleFrog,"chriskylefrog, all, best pictures combined, more money, godblesschriskyle",2
SarahPalinUSA has a message for Michael Moore the idiot that called Chris Kyle a Coward AmericanSniper ,"chris, americansniper, idiot, chris kyle, coward, michael moore",0
Bello AmericanSniper forse un pelino romanzato tipo quando Chris colpisce in testa Mustaf il cecchino Siriano dall'Irak,"chris, dall'irak, mustaf il, siriano dall'irak, pelino romanzato tipo quando chris colpisce",0
American Sniper failed to contextualize Bradley Cooper's actions in an immoral military operation I guess you could say it had No scope,"actions, scope, immoral military operation, bradley cooper 's",2
Just saw AmericanSniper - amazing film Bradley Cooper's best role Oscar Also reinforced my pride in love of America,"america, pride, bradley cooper 's, oscar, best role oscar, love",2
American Sniper deserves all of the praise it's received It was an amazing movie Bradley Cooper was outstanding Clint Eastwood nailed it,"bradley cooper, it was an, clint eastwood, outstanding clint eastwood, amazing movie bradley cooper",2
"Bradley Cooper in ""American Sniper"" is everything I want in a man","everything, bradley cooper, man, american sniper",2
American Sniper is so awesome So much respect for Chris Kyle ,"chris kyle, much respect, kyle",0
MMA_Doctor We cried at end of AmericanSniperall of us who served thank Kyles 4sharing his story ChrisKyleFrog HonorChrisKyle me too,"chriskylefrog, kyles, chriskylefrog honorchriskyle",0
I stand with RaniaKhalek and MaxBlumenthal in their comments and analysis about ChrisKyle and AmericanSniper,"chriskyle, maxblumenthal, americansniper",1
Thank you Mr Eastwood and the Kyle Family AmericanSniper is a movie which has changed the country for the better Eastwood_ ChrisKyle,"family americansniper, eastwood, movie, mr eastwood, kyle, better eastwood",1
HonorChrisKyle Just saw American Sniper from my family to the Kyle family Thank you  ,"family, kyle family, kyle, american sniper",0
I've lost so much respect for Sethrogen after he slammed AmericanSniper and ChrisKyle What a liberal turd I just can't,"liberal turd, chriskyle what a, sethrogen, americansniper, turd",1
*immediately researches everything about Chris Kyle after watching American Sniper*,"sniper, american, chris kyle, american sniper",0
Clint Eastwood can certainly cut to the heart of thingsAmerican Sniperwow,"sniperwow, clint eastwood, thingsamerican sniperwow",2
Great job SeanParnellUSA JasonRedmanWW on Hannity  AmericanSniper HonorChrisKyle,"great job seanparnellusa jasonredmanww, hannity, honorchriskyle",2
I'm throwing in a dip for Chris Kyle AmericanSniper,"chris kyle americansniper, americansniper",1
I've thought nonstop about American Sniper and Chris Kyle's story for days Clint Eastwood could not have produced that movie any better,"eastwood, chris kyle 's, story, american sniper, clint eastwood, days clint eastwood",0
Interesting read written by a corpsman regarding Chris Kyle and the American Sniper movie ,"corpsman, chris kyle, movie, kyle, american",0
For his role in AmericanSniper Bradley Cooper had to get big Here's his real workout plan ,"workout, americansniper bradley cooper, plan",2
Just can't get over how phenomenal Bradley Cooper was in American Sniper ,"sniper, bradley cooper, american, phenomenal bradley cooper",2
One of the most powerful things I've ever seen AmericanSniper HonorChrisKyle ,"honorchriskyle, americansniper, powerful things",1
Incase you missed the interview w/ Chris Kyle by Cameron_Gray  Here it is AMERICANSNIPER ,"chris kyle, cameron_gray, kyle, americansniper",0
"""Judge Jeanine Opening Defends Chris Kyle ","chris kyle, kyle, jeanine opening",0
I give American Sniper a 10 and Bradley Cooper a 47 Yowza GodBlessAmerica,"bradley cooper, godblessamerica, american, american sniper",2
Are recirculating claims Chris Kyle killed looters and carjackers true AmericanSniper  ,"chris kyle, carjackers, looters",0
lol fuck anyone who thinks chris kyle is some sort of hero and that american sniper is anything more than very expensive racist propaganda,"sniper, chris kyle, anything, propaganda, hero",0
Go see Oscar Nominationed AmericanSniper (Expanded Now on more screens in history for rated R movie HonorChrisKyle PJNET,"history, honorchriskyle, more screens, nominationed americansniper, r, pjnet",1
AmericanSniper - Terrific war drama based on the most lethal US Sniper Chris Kyle superbly portrayed by Bradley Cooper Do watch it 8/10,"bradley cooper do, chris kyle, bradley cooper, cooper, americansniper-terrific war drama, do",2
"Clint Eastwood ""AmericanSniper es un alegato contra la guerra"" ","contra, clint eastwood, alegato, americansniper es un",1
Texas Governor Declares Feb 2 Chris Kyle Day' ,"day, feb 2, chris kyle day",0
Why are you all eerily silent on the burning to death of a Jordanian pilot but go nuclear on ChrisKyle AmericanSniper AskDems,"chriskyle americansniper askdems, askdems, jordanian",1
HonorChrisKyle BeardsForChris HonorChrisKyle BrotherInArms AmericanHero AmericanSniper ,"americanhero americansniper, americansniper, beardsforchris honorchriskyle",1
CHRIS KYLE MEMORIAL BENEFIT WEEKEND APRIL 30th - May 3rd Guardian4Heroes AmericanSniper HonorChrisKyle ,"guardian4heroes, honorchriskyle, 30th-may 3rd guardian4heroes, 3rd, 30th-may",2
I get including Bradley Cooper American Sniper is one of the best SNL movies,"sniper, bradley cooper, bradley cooper american sniper",2
I want justice for Chis Kyle Chad Littlefield AmericanSniper,"chis kyle chad littlefield americansniper, americansniper",1
cynatnite2009 robertpatrickT2 Any predictions or favorites Bradley Cooper Robert Duvall American Sniper and Patricia Arquette,"sniper, bradley cooper, arquette, patricia arquette, robert duvall, american sniper",2
Awesome to see Chris Kyle's wife at the Oscars  ChrisKyle AmericanSniper,"chris kyle 's, wife, oscars, americansniper",0
Taya Kyle holding her husband's dogtags on the Oscars RedCarpet RIPChrisKyle AmericanSniper ThankYouChief ,"thankyouchief, oscars redcarpet ripchriskyle americansniper thankyouchief, oscars, americansniper",1
This is a loooong show   Oscars2015 I love AmericanSniper   ChrisKyle hope it wins,"chriskyle, loooong show, americansniper",1
The fact that American sniper didn't win best picture and Bradley cooper didn't win best actor blows my fucking mind,"actor, bradley cooper, bradley, best picture, mind",2
Eddie Ray Routh found guilty of murdering Chris Kyle AmericanSniper,"chris kyle americansniper, americansniper",1
BreakingNews Eddie Ray Routh found GUILTY of murder in killings of AmericanSniper Chris Kyle Chad Littlefield,"ray routh, americansniper chris kyle chad, littlefield, killings, chad, murder",0
Jury finds Eddie Ray Routh guilty of killing AmericanSniper Chris Kyle,"americansniper chris kyle, kyle, eddie ray routh",0
AmericanSniper doesn't need Oscar they won heart respect of Nation ChrisKyle Murderer Guilty Rest in peace ,"oscar, nation chriskyle murderer guilty, heart respect, guilty, peace",2
BREAKING Jury finds Eddie Ray Routh guilty of killing of Chris Kyle subject of hit film 'American Sniper' and his friend in Texas,"sniper, film, chris kyle, american, eddie ray routh, american sniper",0
Justice has been served RIPChrisKyle AmericanSniper,"ripchriskyle, americansniper",1
AmericanSniper made more than those that won faux awards ChrisKyle ensured our liberty-our safety That's something liberals fail to grasp,"chriskyle, liberty-our safety, liberals, something",2
Just watched AmericanSniper What a powerful film Bradley Cooper gave a commendable performance for an honorable man,"bradley cooper, man, powerful film bradley cooper, commendable performance, performance",2
Watched AmericanSniper and highly recommend to everyone Excellent tribute to Chris Kyle a true hero God bless our brave men and women,"chris kyle, men, brave men, everyone excellent tribute, women",0
AmericanSniperIT di Clint Eastwood vi aspetta al cinema ,"cinema, clint eastwood, al",2
Watch Bradley Cooper as Chris Kyle in a new featurette for AmericanSniper ,"chris kyle, new featurette, americansniper",0
AmericanSniper opens today select theaters in LA NY Dallas bradleycooper madeleinemcgraw ClintEastwood ,"ny dallas, theaters, clinteastwood, la",2
Just watched American Sniper Brings back memories from my three tours Thanks Chris LEGEND HonorChrisKyle ChrisKyleFrog,"sniper, memories, chriskylefrog, chris legend, honorchriskyle",0
'American Sniper review Clint Eastwood aims for a little nuance ,"nuance, clint eastwood, american sniper review clint eastwood",2
only thick basic cunts go to see american sniper and bradly cooper is a two thumbed gora hritik next,"cooper, hritik, gora hritik, american sniper",2
Moore is clearly jealous Eastwood directed American Sniper He'll never see lines at the theater for his films ,"sniper, eastwood, lines, american sniper",2
250+ people in the theater watching American sniper and you could hear a pin drop after Amazing film Bradley Cooper is the man Oscars2015,"bradley cooper, man, amazing film bradley cooper, amazing, american, american sniper",2
Have you seen the new AmericanSniper film Support the Chris Kyle Foundation and buy gear ,"foundation, new americansniper film support, americansniper, gear, support the chris kyle foundation, chris kyle foundation",0
Michael Moore Shares His Thoughts On 'American Sniper' Praises Bradley Cooper ,"cooper, american, praises bradley cooper, american sniper",2
Just saw AmericanSniper Amazing movie People clapped after the credits rolled RIP CPO Chris Kyle God Bless his family,"credits, chris kyle, amazing movie people, family, cpo chris kyle god, bless",0
The Left would be more tolerant in their view of ChrisKyle American Sniper if a scene in the movie had him burning down a Quickie Mart,"scene, movie, chriskyle american sniper, quickie, mart",2
If you think AmericanSniper Chris Kyle is a hero you're morally repugnant He was a racist sociopathic murderer confessed war criminal,"chris kyle, war, hero",0
Saw American Sniper in IMAX Fantastic film Cooper was Oscar-worthy Most moving film credits youll ever see,"cooper, oscar-worthy most moving film credits, imax fantastic film cooper, film",2
REMINDER Fuck AmericanSniper fuck ChrisKyle fuck America and our horrible war propaganda,"chriskyle, america, propaganda",2
American Sniper was no doubt one of the best movies I've ever seen God Bless Chris Kyle and every troop that has defended this country ,"god, chris kyle, kyle, troop, country",0
Not a sound as people left the theater after watching American Sniper Amazing movie Thank you Chris Kyle and all that protect us USA,"chris, american sniper amazing movie, chris kyle, kyle, american sniper amazing",0
No words after watching American Sniper Chris Kyle was unbelievable and I still have chills watching the footage of his memorial,"chris kyle, american, american sniper chris kyle, kyle",0
Can we just acknowledge Bradley Coopers beard in American sniper That is perfection people,"perfection, bradley coopers beard, american, american sniper, people",2
Who is going to AmericanSniper tonight Retweet HonorChrisKyle,"honorchriskyle, tonight, americansniper",1
AmericanSniper awakens patriotism The silence of reflection as the credits roll is palpable NavySEAL USMC ChrisKyle BradleyCooper,"reflection, usmc, bradleycooper, patriotism, chriskyle, credits",2
"Since ""American Sniper"" is out generating talk time to RE-UP my piece on Chris Kyle written at his tragic death ","chris kyle, death, kyle, talk time, piece",0
Wait what Did anyone else notice Bradley Cooper's FakeBaby in American Sniper ,"sniper, fakebaby, bradley cooper 's, anyone, american, notice bradley cooper",2
"TRENDING (HonorChrisKyle Feb 2nd In memory of ""The Legend"" Chris Kyle (All day AmericanSniper PJNET","all day, memory, chris kyle, honorchriskyle feb 2nd, honorchriskyle feb, pjnet",0
kevinsiner HonorChrisKyle AmericanSniper ChrisKyleFrog Absolutely SPELLBINDINGand humbling to those of us our military protects,"kevinsiner honorchriskyle americansniper chriskylefrog, chriskylefrog",1
Dmarrage record pour American Sniper de Clint Eastwood ,"eastwood, american, clint eastwood, american sniper",2
Anyone who trash talk American Sniper or Chris Kyle should be banished from America AmericanSniper ChrisKyle ,"americansniper, chris kyle, chriskyle, american, american sniper, america",0
Took my HS sons to see AmericanSniper now they both know how to spot other SheepDogs ChrisKyleFrog American Hero HonorChrisKyle tcot,"americansniper, sons, honorchriskyle, sheepdogs chriskylefrog american hero, tcot",1
If You See AmericanSniper This Weekend Remember To This Day BarackObama Has Still Not Uttered ChrisKyle's Name ,"chriskyle, name, day, this weekend remember to this day",2
I legit do not see how people could call Chris Kyle a murderer after watching American Sniper He truly was an American Hero ,"chris kyle, american hero, american, american sniper, hero",0
My TL is filled with Beards4Chris HonorChrisKyle AmericanSniper I can't wait to see this movie,"americansniper, beards4chris honorchriskyle americansniper",1
Whoa Bradley Cooper ate 6000 cals a day to prep for American Sniper ,"sniper, bradley cooper, american, cals, day",2
Meet the Real-Life Navy SEAL Bradley Cooper Convinced to Play Himself in 'American Sniper' ,"convinced, bradley cooper convinced, navy seal bradley, american sniper",2
Sooo after watching American Sniper I decided to read Chris Kyle's book I like the part where he finds WMDs ,"chris kyle 's, wmds, book, american sniper, part",0
Thoughts after American Sniper 1 I wanna go shoot shit 2 I'm ready to fight ANYONE 3 I'm pissed at the MOFO who murdered Chris Kyle ,"chris kyle, mofo, shit, anyone",0
To my friends on the religious right---are you a conservative first or a Christian first AmericanSniper ,"conservative first, christian, first",2
Did anyone else catch that mermaidsighting with BradleyCooperUS in AmericanSniper Thanks ClintEastwood ,"clinteastwood, americansniper thanks clinteastwood",1
I just supported Chris Kyle AmericanSniper on ThunderclapIt // Melissa_PPI ,"chris kyle americansniper, thunderclapit",0
I just supported Chris Kyle AmericanSniper on ThunderclapIt // Melissa_PPI ,"chris kyle americansniper, thunderclapit",0
Taya Kyle Bradley Cooper's portrayal of husband Chris was eerily on target Brought Chris to life AmericanSniper ,"chris, americansniper, kyle bradley cooper 's, target, husband chris",2
Just disgusting AmericanSniper ChrisKyle ,chriskyle,2
If you haven't seen American sniper I suggest watching it I learned about Chris Kyle in high school seeing the movie was just emotional,"chris kyle, movie, high school, american sniper",0
"Bradley Cooper says playing Chris Kyle in ""American Sniper"" changed his life ","chris kyle, life, kyle, american sniper",0
Entrevista a Michael Moore tras su polmica con Clint Eastwood por American Sniper ,"sniper, american, michael moore, clint eastwood",2
The jury selection today began for the trial of AmericanSniper Chris Kyle's accused killer ,"chris, americansniper chris kyle 's, trial, kyle, americansniper chris kyle, killer",0
If you haven't read the book AmericanSniper there is so much more to the real life story of hero Chris Kyle his wife Taya A Must Read,"taya a, americansniper, chris kyle, real life story, hero chris kyle, wife taya a",0
"AmericanSniper widow Taya Kyle on how to best honor her late husband Chris Kyle ""Thank a veteran""","veteran, chris kyle, taya kyle, kyle",0
tiffallon I hangin' with the greatest party host ever attproam clinteastwood americansniper ,"clinteastwood, americansniper, greatest party host",1
American Sniper is the best war movie since Saving Private Ryan Thank you Chris Kyle for what you did for America ,"chris, saving private ryan, chris kyle, kyle, best war movie",0
Steve Kroft profiles Bradley Cooper the star of AmericanSniper -- a hot Oscar's contender ,"hot oscar, americansniper, oscar, bradley cooper, contender, star",2
dauber246 on foxandfriends tomorrow morning talking ChrisKyle and AmericanSniper ,"chriskyle, tomorrow morning talking chriskyle, americansniper",1
Just finished watching AmericanSniper the ending was sad  Rip Chris Kyle ,"chris kyle, kyle",0
First win for AmericanSniper - definitely some amazing sound editing in that film Congratulations FilmsandPopcorn ClintEastwood,"congratulations filmsandpopcorn clinteastwood, film, clinteastwood, amazing sound editing",2
Well I still respectfully honor AmericanSniper GodBlessChrisKyle,godblesschriskyle,2
benfergusonshow No Oscar trophies needed ChrisKyleFrog is a true American hero AmericanSniper Oscars ,"oscar, american hero, oscar trophies, american, needed chriskylefrog",2
One reason American Sniper was probably snubbed is Hollywood can't handle another Clint truth telling speech seanhannity ChuckCJohnson,"hollywood, seanhannity, chuckcjohnson, clint",2
Favorite so far is seeing Chris Kyle's wife at the Oscars American Sniper was amazing tragic Thanks for letting us watch his story,"oscars american sniper, amazing tragic thanks, chris kyle 's, oscars, story",0
"Neil Patrick Harris is right Clint Eastwood should pull a Kanye West if ""American Sniper"" doesn't win I'd pay 1000 to see that","clint eastwood, kanye west, west, american sniper",2
BREAKING NEWS Texas jury finds accused AmericanSniper killer Eddie Routh guilty of murdering Chris Kyle Chad Littlefield,"chris, littlefield, chris kyle, chad, eddie routh, killer eddie routh",0
RIP  ChrisKyle ChadLittlefield  AmericanSniper frogman  Hannity ,"hannity, chriskyle chadlittlefield, americansniper frogman",1
Eddie Ray Routh Guilty of Capital Murder of 'AmericanSniper' ChrisKyle and ChadLittlefield ,"eddie ray routh guilty, americansniper, chadlittlefield, chriskyle, capital murder",1
SO glad Eddie Routh was found guilty of killing Chris Kyle and Chad Littlefield AmericanSniper JusticeForChrisKyle,"chad littlefield, justiceforchriskyle, chris kyle, chad, kyle",0
May Chris Kyle and Chad Littlefield Rest In Peace Glad the Jury got this right AmericanSniper AmericanHero ,"chris kyle, americanhero, jury, chad littlefield",0
Our prayers continue to be with the Kyle and Littlefield families at this difficult time AmericanSniper ,"kyle, littlefield families, americansniper",1
What an honor to spend time with Taya Kyle wife of ChrisKyleFrogwe are forever indebted AmericanSniper ,"taya kyle wife, taya kyle, americansniper, chriskylefrogwe",0
Just saw AmericanSniper my heart is heavy Prayers thanks to ChrisKyleFrog familyfrom a military brat daughter of a Vietnam vet,"vietnam, chriskylefrog, vet, military brat daughter, daughter",2
"Non si pu parlare con una ragazza di cinema tu le chiedi ""Com' Bradley Cooper in American Sniper"" e lei ti risponde ""UN FICO""","fico, bradley cooper, un, e lei ti risponde, american sniper "", parlare con una ragazza",2
Tonight's movie at home is ( American sniper starring Bradley Cooper Got my Oscar nominee Movies ,"american sniper starring bradley cooper, movies, oscar, bradley cooper, american, nominee",2
AMERICAN SNIPER the real life version of me in Halo mlg bradley s2 bottomgold overshieldisupat837,"overshieldisupat837, halo mlg bradley, real life version, version",2
Vogues Culture Tip Starring Bradley Cooper and Sienna Miller there really is no reason not to see American Sniper ,"sniper, bradley cooper, american, sienna miller, reason, miller",2
Our review of Clint Eastwood's 'American Sniper' which expands nationwide tomorrow ,"tomorrow, american sniper ', clint eastwood 's '",2
"I just watched ""American Sniper"" movie is so legit Chris Kyle rest in paradise brotha you sir are my Hero","chris kyle, sir, paradise brotha, hero",0
I would have messed up someone's day if they were disrespectful at all during American Sniper RIPChrisKyle frogrespect,"disrespectful, sniper ripchriskyle, someone, frogrespect, day",2
bigricanman Saw AmericanSniper w/family last nite-tribute 2 a true American hero HonorChrisKyle AmericanSniper Proud 2B a Patriot,"patriot, family last nite-tribute, saw americansniper w, true american hero honorchriskyle, americansniper proud",1
Real life American Sniper Chris Kyle claimed to have killed dozens of armed residents in New Orleans during Katrina ,"chris kyle, armed residents, dozens, katrina, new orleans",0
more like badass of the century  AmericanSniper EmptyChair ClintEastwood HonorChrisKyle ,"honorchriskyle, clinteastwood",2
My new DailyMail column is about American Sniper Chris Kyle Michael Moore Posting soon,"chris kyle, american, michael moore, sniper chris",0
American Sniper (El francotirador el mejor estreno de Clint Eastwood ,"eastwood, clint eastwood, el francotirador",2
Have now had 3 of my moms friends and 2 of my dad's hookers tell me I look like Bradley Cooper from American Sniper 0___o,"bradley cooper, 0___o, american sniper 0___o",2
Just a reminder that this is Michael Moore's house HonorChrisKyle AmericanSniper tcot ocra p2 ,"ocra, honorchriskyle americansniper, michael moore 's, tcot, p2",1
'American Sniper' shatters box office record Watch Bradley Cooper talk AmericanSniper ,"shatters, watch bradley cooper, cooper",2
American Sniper is a must see movie RIP Chris Kyle thank you for your service,"rip chris kyle, movie",0
Anyone talking down on Chris Kyle/American Sniper should be ejected from this country,"chris kyle, country, american sniper",0
HonorChrisKyle ChrisKyleFrog forgedclothing TheLegend AmericanSniper  Beards4Chris Thank you Sir SEMPER FI ,"beards4chris, semper fi, thelegend americansniper, fi",1
Bradley Cooper consumed 8000 calories daily for 'American Sniper' ,"bradley cooper, calories, american sniper",2
Is that a challenge RT NYMag Bradley Cooper consumed 8000 calories daily for 'American Sniper' ,"nymag bradley cooper, rt nymag bradley, cooper, calories, american sniper",2
American sniper is one of the greatest movies of all time and Chris Kyle is a hero,"chris kyle, greatest movies, hero",0
American Sniper Whoah Bradley Cooper is the man Clint Eastwood has been the man for a while now,"man clint eastwood, clint eastwood, man",2
Who would Jesus snipe ChrisKyle AmericanSniper WWJS  If Chris Kyle was a Muslim everyone would call him a terrorist insurgent think,"chris kyle, everyone, chriskyle americansniper wwjs, muslim",0
If he'd deck Jesse Ventura I wonder what Chris Kyle would do to marshmallow Seth Rogan who compared AmericanSniper to Nazi propaganda,"seth rogan, americansniper, chris kyle, nazi, marshmallow seth, propaganda",0
Alright time to see AmericanSniper Two of my friends have read ChrisKyleFrog's book said the movie was truly compelling,"chriskylefrog, book, movie, americansniper",1
Clint Eastwood'un ynettii Bradley Cooper'n oynad American Sniper haftasonu 90 milyon ile Ocak rekoru krd ,"ocak, oynad american sniper haftasonu, krd, american sniper, rekoru, bradley cooper'n",2
A heartfelt salute to a true patriot Thank you for your service Chris Kyle Hero GoneButNeverForgotten AmericanSniper,"true patriot, chris kyle, americansniper, heartfelt salute",0
I am not gonna watch American Sniper to find out why Bradley Cooper is holding that fake ass baby Why is he holding that fake ass baby,"bradley cooper, fake ass baby, ass, baby",2
Read the full interview with 'American Sniper' Chris Kyle that didnt make it to press ,"press, chris kyle, american, american sniper, full interview",0
everyone in American Sniper could've lived if they'd just looked at Chris Kyle and said SNIPER NO SNIPING three times together,"sniper, chris kyle, sniping, american sniper, times",0
I wonder if Clint Eastwood spent a lot of time on the American Sniper set swearing at his imaginary enemy from the 2012 RNC,"imaginary enemy, time, the american sniper, enemy, clint eastwood",2
If seeing AmericanSniper doesn't move you check your pulse proudamerican BradCooper28 AmericanSniper HonorChrisKyle ChrisKyleFrog,"chriskylefrog, americansniper",1
Saw AmericanSniper this afternoon Every American should see this movie What an honorable and selfless hero cc HonorChrisKyle CKFFdn,"honorchriskyle, this afternoon, movie, american, ckffdn, hero",2
American Sniper might be the best movie I've ever seen RIPChrisKyle,"ripchriskyle, best movie",2
Fun Fact To prepare for AmericanSniper Bradley Cooper shot twelve people last March ,"march, last march, americansniper bradley cooper",2
"Here's Clint Eastwood during an initial reading of AMERICAN SNIPER w/ the actor formally cast in the role of ""baby"" ","american sniper, initial reading, baby, actor, role, clint eastwood",2
wenn schon krieg dann als DerScharfschtze rumliegen alleine sein geil ballern  exakt wie das buch AmericanSniper BradleyCooper,"bradleycooper, americansniper, rumliegen alleine sein geil ballern, dann als, exakt, ballern",1
Bradley Cooper nailed that performance in American Sniper,"sniper, bradley cooper, american, performance",2
AMERICAN SNIPER gives the perfect insight into the veterans perspective on the Iraq War Bradley Cooper played Chris Kyle perfectly,"the iraq war bradley cooper, chris kyle, kyle, veterans, perfect insight",0
I started sweating when I saw how hot Bradley Cooper is in American Sniper,"sniper, bradley cooper, american, hot bradley cooper",2
'I wish I'd killed more' American Sniper Chris Kyle said ,"chris kyle, american",0
Fact of the Day Patriots-ChrisKyle ChrisKyleAmericanHero AmericanSniper NeverForget wethepeople veterans ,"wethepeople, neverforget, day patriots-chriskyle, veterans",2
American sniper is amazing Bradley cooper can fucking act,"bradley, act, cooper",2
A whole new respect for Bradley Cooper after American Sniper I am speechless,"bradley cooper, american, american sniper",2
AmericanSniper fantastic movie Well done Clint Eastwood well done,"eastwood, clint eastwood",2
ORDER YOUR CHRIS KYLE GEAR BOOKS AT ,"chris kyle, books, at",0
AmericanSniper i saw the movie yesterday and rip to Chris kyle you will be missed ,"chris kyle, chris, kyle, yesterday",0
MrRShepherd Agreed - I've seen AmericanSniper 3 timesCooper deserves Best Actor at the Oscars - Eastwood's best work since MysticRiver,"best, oscars-eastwood 's, timescooper, americansniper, best work, mysticriver",1
See Oscar nom Bradley Cooper in the movie captivating America See AmericanSniper in IMAX ,"americansniper, bradley cooper, movie, cooper, oscar nom bradley cooper, america",2
Support Chris Kyle AmericanSniper sign up on ThunderclapIt // Melissa_PPI ,"chris kyle americansniper, thunderclapit",0
So very honored to be at the Texas Veterans Commission showing of AmericanSniper w/ Taya Kyle ,"the texas veterans commission, americansniper w/ taya, kyle",1
AmericanSniper ChrisKyle murderer ,"americansniper chriskyle, murderer",1
Just saw 'American Sniper' It was like a two hour sex tape between Clint Eastwood and an eagle,"hour sex tape, eagle, eastwood, american sniper, clint eastwood",2
"Sneak peek Bradley Cooper's vow to ""American Sniper"" ","sniper, american, bradley cooper 's, american sniper",2
Chris Kyle died two years ago today Thank you for your service  AmericanSniper AmericanHero,"chris kyle, years, two years ago",0
"Texas marks ""Chris Kyle Day"" on 2nd anniversary of his death ","death, anniversary, 2nd anniversary, chris kyle day",0
AmericanSniper is a great motion picture Michael Moore trying to remain relevant ChrisKyle legacy will endure ,"chriskyle, michael moore, relevant chriskyle legacy, legacy",2
Let's Show Everyone Chris Kyle is an HERO By Selling Out Every Showing of AmericanSniper  HonorChrisKyle PJNET,"americansniper, chris kyle, show everyone, pjnet, hero",0
Murder trial of EddieRayRouth for death of AmericanSniper ChrisKyle begins tomorrow in Texas It will be a Q ,"chriskyle, q, eddierayrouth, texas, tomorrow",2
"WATCH LIVE Trial of alleged killer of ""American Sniper"" subject Chris Kyle begins in Texas ","chris kyle, texas, alleged killer, subject, american sniper",0
Jurors saw video of the police chase and the arrest of ChrisKyles killer in the AmericanSniper murder trial ,"americansniper, trial, chriskyles, police chase, chriskyles killer, video",1
American Sniper is an amazing movie and I'm forever grateful there are men and women like Chris Kyle who sacrifice their lives everyday,"chris kyle, lives, men, amazing movie",0
Show me evidence American Sniper dehumanizes Muslims I've seen the film I know Chris Kyle's Iraqi Interpreter You're absolutely wrong,"film, iraqi, iraqi interpreter, chris kyle 's, 've, muslims",0
Let's Show Everyone Chris Kyle is an HERO By Selling Out Every Showing of AmericanSniper  HonorChrisKyle PJNET,"americansniper, chris kyle, show everyone, pjnet, hero",0
ChrisKyle AmericanSniper So cool ,chriskyle americansniper,1
VIDEO Book Discussion on AmericanSniper w/ ChrisKyle via BookTV ,"chriskyle, video book discussion on, americansniper w/ chriskyle, booktv",1
Clint Eastwood Snubbed by Hollywood sayswe didn't make AmericanSniper for AwardsBless you ,"hollywood sayswe, hollywood, americansniper, awardsbless, clint eastwood snubbed",1
RETWEETIf you agree that it doesn't matter what happens at Oscar2015 AmericanSniper has already WON ChrisKyle ,"chriskyle, won chriskyle, oscar2015 americansniper",1
i havent seen american sniper but i have seen other bradley cooper movies and he really deserves to finally get an oscar,"movies, other bradley cooper movies, american sniper",2
AmericanSniper up for best picture at the Oscars tonight Taya Kyle is in attendance taking a red-eye flight back for the trial tomorrow,"best picture, oscars, red-eye flight, taya kyle, attendance, flight",0
Great to see Taya Kyle Bradley Cooper on the Red Carpet for AmericanSniper at the Oscars - Best of Luck,"taya kyle bradley cooper, americansniper, the red carpet, oscars-best, luck, oscars-best of luck",2
Let's Show Everyone Chris Kyle is an HERO By Selling Out Every Showing of AmericanSniper ChrisKyleAmericanHero PJNET,"chris kyle, show everyone, americansniper chriskyleamericanhero pjnet, pjnet, hero",0
